3.00,9.00,5.00,6.00,5.00,0.08,-1.04,0.10,o
2.00,6.00,6.00,7.00,7.00,0.19,0.38,0.85,q
2.00,6.00,6.00,7.00,7.00,0.15,0.41,0.85,q
3.00,6.00,6.00,7.00,7.00,0.17,0.38,0.86,q
3.00,6.00,6.00,7.00,7.00,0.21,0.34,0.86,q
3.00,6.00,6.00,7.00,7.00,0.21,0.38,0.86,q
3.00,6.00,6.00,7.00,7.00,0.20,0.37,0.85,q
2.00,4.00,0.00,7.00,6.00,-0.18,-0.99,0.25,v
2.00,4.00,0.00,7.00,6.00,-0.18,-0.97,0.28,v
2.00,4.00,0.00,7.00,6.00,-0.17,-0.98,0.26,v
2.00,4.00,0.00,7.00,6.00,-0.17,-0.98,0.24,v
2.00,4.00,0.00,7.00,6.00,-0.17,-0.98,0.24,v
2.00,4.00,0.00,7.00,6.00,-0.16,-0.98,0.25,v
2.00,4.00,0.00,7.00,6.00,-0.16,-0.99,0.24,v
3.00,5.00,0.00,3.00,7.00,0.22,-0.96,0.29,w
3.00,5.00,0.00,3.00,7.00,-0.10,-0.97,0.30,w
3.00,5.00,0.00,3.00,6.00,-0.13,-0.98,0.28,w
3.00,5.00,0.00,3.00,6.00,-0.12,-0.98,0.26,w
3.00,5.00,0.00,3.00,6.00,-0.11,-1.00,0.23,w
3.00,5.00,0.00,3.00,6.00,-0.11,-0.98,0.27,w
3.00,5.00,0.00,3.00,6.00,-0.12,-0.99,0.23,w
1.00,9.00,7.00,7.00,2.00,-0.06,-1.04,-0.03,y
1.00,9.00,7.00,7.00,2.00,-0.07,-1.05,-0.04,y
1.00,9.00,7.00,7.00,2.00,-0.04,-1.04,-0.06,y
1.00,9.00,7.00,7.00,2.00,-0.03,-1.05,-0.05,y
1.00,9.00,7.00,7.00,2.00,-0.04,-1.05,-0.05,y
1.00,9.00,7.00,7.00,2.00,-0.05,-1.05,-0.05,y
1.00,9.00,7.00,7.00,2.00,-0.04,-1.05,-0.06,y
1.00,9.00,7.00,7.00,2.00,-0.04,-1.05,-0.06,y
3.00,8.00,6.00,6.00,5.00,-0.05,-0.94,0.36,c
3.00,8.00,6.00,6.00,5.00,-0.05,-0.95,0.37,c
3.00,8.00,6.00,6.00,5.00,-0.04,-0.95,0.38,c
3.00,8.00,6.00,6.00,5.00,-0.05,-0.95,0.39,c
3.00,8.00,6.00,6.00,5.00,-0.04,-0.95,0.38,c
3.00,8.00,6.00,6.00,5.00,-0.04,-0.95,0.39,c
3.00,8.00,6.00,6.00,5.00,-0.05,-0.95,0.37,c
3.00,8.00,6.00,6.00,5.00,-0.05,-0.95,0.37,c
3.00,8.00,6.00,6.00,5.00,-0.05,-0.94,0.38,c
2.00,5.00,6.00,7.00,5.00,0.01,-1.02,0.19,d
2.00,5.00,6.00,7.00,5.00,0.00,-1.02,0.19,d
